@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
4.63,5.58,1.94,1.71,2.33,2,2,1.38,1.78,1.26,2,0.67,1.88,1.19,0.78,0.87,0.33,0.33,0.75,1.25,H
4.63,1.22,1.93,1.27,1.33,3,1.93,1.27,1.77,1.27,1.33,2.67,1.8,1.2,0.8,1.57,1,1,0.8,1.6,H
4.63,2.37,1.75,1.75,2.33,1.33,2,2.17,1.67,1.92,3,1,1.67,2,0.83,1.33,1,1.33,0.67,1,H
4.63,0.61,1.71,1,1.33,1.33,1.78,0.89,1.65,1.18,1.33,1,1.67,1.22,0.82,1.71,1,1.33,0.78,2.11,H
4.63,2.11,1.8,2,2.33,0.67,1.9,2.1,1.7,1.85,2,0,1.8,2.1,0.8,1.25,0.67,0.33,0.7,1.2,A
4.63,0.72,1.7,0.4,1.67,0,1.8,0.6,1.6,0.9,2.33,0.33,1.4,1.2,0.8,1.7,1,1.67,0.6,2,H
4.63,6.4,1.5,2.5,2.33,2,1.67,3,0.83,2,0.67,1.33,1,2,0.67,0.33,0,0.67,0.67,0,H
4.63,1.27,1.88,1.38,3,1.33,1.83,1.36,1.83,1.12,3.33,0.67,1.83,1.27,0.79,1.08,0.67,0.67,0.75,1.36,H
4.63,5.74,1.93,1.82,2,1,2,1.71,1.75,1.57,1.33,1.67,1.79,1.79,0.79,1,1,2,0.71,1.29,D
4.63,0.77,1.71,0.86,1.33,2,1.73,0.64,1.62,1.24,1,2.33,1.64,1.27,0.81,1.95,1,1.33,0.73,2.73,H
